13568.6	17181	9406.52	754545	0	1221.15	250183	78807.3	62278.8	1.24887e+06
29366.3	72379.8	106015	406090	0	812910	199297	2.32878e+06	477231	160007
7308.26	2063.89	20541.6	123227	430326	0	0	15905.8	0	1.38224e+06
12625.9	919.782	0	0	0	0	0	0	0	0
113954	0	83914.3	389255	0	0	0	0	0	299915
11908	6487.9	9775.26	260863	11766.7	195465	0	2.24254e+06	582851	11159.6
0	358.397	43.9709	0	2645.23	0	0	0	2360.8	6958.8
442.593	0	1329.58	435.014	0	0	0	8648.39	47891.6	14342.7
84044.8	0	11976.9	281321	0	0	0	0	0	109881
1.19006e+06	956827	1.01282e+06	1.89252e+06	454899	1.76129e+06	0	0	0	4.13551e+06
0	0	59.7452	0	603.09	0	0	0	7697.04	365.451
64910.8	0	0	77104.1	19655.2	11656.7	44809.8	56066.5	54476.9	58613
3.54996	0.089461	14.1932	234.514	56.6047	27.8408	0	574.323	5114.63	207.009
112.385	12.2659	0	26.3169	62.0612	0	0	0	11157.1	4.92462
19.8287	96.1031	0	0	0	0	545.053	0	0	0
21366.3	0	2884.58	681316	0	159357	0	1.41927e+06	1.27104e+06	323674
896912	16904	0	1.22504e+06	121032	0	111971	0	23533.7	0
35273.9	0	0	145872	10575.6	0	0	0	0	0
33409.6	0	8816.85	142705	0	62206.6	0	524061	0	38834.3
13660.8	8275.21	8058.19	846362	483212	20970	18810.4	83007.2	56765.4	785514
0	0	0	0	0	0	0	0	8634.78	65.2951
3115.99	0	0	118817	0	1157.43	0	9858.4	0	47994.8
483281	0	80507.5	4.79288e+06	1.12839e+06	825366	4.12343e+06	0	0	0
5985.38	4866.24	2548.81	424244	15315.7	0	0	0	460730	11146.8
41225.7	14145.1	20205	0	2406.89	0	0	66.8954	1806.79	837.511
67.8765	8.98777	0	0	43.8941	82.2451	61.7812	56.3777	7097.92	289.47
1.82877	216.757	30.7011	0	2411.03	73.34	235.662	177.739	4231.98	2610.27
32.0034	0	0	68.3014	0	0	0	0	8580.19	36.731
5783.95	21999.8	1163.29	3.57489e+06	181195	614832	1.20136e+06	166358	0	1.34606e+06
0	0	0	27.073	0	1158.44	3936.8	0	9133.54	1458.28
36428.8	599.31	0	164348	0	0	0	0	27157.5	0
