"1" "2" "3" "4" "5" "6" "7"
"sscortex" 0.0804839552104063 0.00277130771431837 3.18066077776755e-05 0.0700846598771098 0.845510949294451 5.0190331744199e-05 0.0010671309641925
"sscortex.1" 0.0541801122569448 0.0514464431160147 1.97823181330559e-05 0.0766473482190157 0.81675518585034 3.70418331288708e-05 0.000914086406422354
"sscortex.2" 0.105829948025114 0.0220951262911908 0.000164851225640401 0.0699038845261291 0.801674924281109 2.50703695397835e-05 0.000306195281277197
"sscortex.3" 0.0601718019665972 0.022062424114348 1.54610698706083e-05 0.0659941599221929 0.851596658483404 2.85624946139138e-05 0.000130931948973151
"sscortex.4" 0.179743325227775 0.00298546209531969 0.000845137855178296 0.0146033284865361 0.801613816848576 3.75642139770369e-05 0.000171365272637951
"sscortex.5" 0.152353245308839 9.98662387760056e-05 2.30088790279139e-05 0.0379063483220674 0.809481557080024 4.82677207807405e-05 8.77064504855041e-05
"sscortex.6" 0.194165711852523 4.54713047864802e-05 0.000292174246530825 0.0440479060241806 0.76091349164294 2.71641821411431e-05 0.000508080746897697
"ca1hippocampus" 0.256782542980796 0.000255974768992624 5.73304169576666e-05 0.00467062941297346 0.736722524379214 0.00134150615020584 0.000169491890860674
"sscortex.7" 0.150964686148541 0.0420691909331651 0.000480207015170742 0.0273443905783121 0.774661560204864 7.90731381397485e-05 0.00440089198180767
"sscortex.8" 0.0879330714500045 0.066125362047396 0.000459901034069411 0.0276568569486177 0.817718959469107 3.4238191199157e-05 7.16108596065771e-05
"sscortex.9" 0.0822770712141868 0.101167744186721 4.27308443678793e-05 0.0907185830624399 0.723870870730709 5.05807718720735e-05 0.00187241918970337
"sscortex.10" 0.102214616321917 0.10640927384019 0.000177392372472574 0.0459937319269284 0.745163472624261 2.08701044242989e-05 2.06428098066e-05
"sscortex.11" 0.344756912861799 0.000928765916803929 2.30530595429909e-05 0.0665676311408618 0.587533902440095 5.82336070196281e-05 0.000131500973877626
"ca1hippocampus.1" 0.0848403989904316 0.0197671273945479 3.63777895694504e-05 0.0296225544527254 0.865627445237721 4.73241224477928e-05 5.87720125562852e-05
"sscortex.12" 0.111143051712884 2.92310369028848e-05 3.06018279588765e-05 0.0292391136984301 0.85952764311901 1.31923389180012e-05 1.71662658960072e-05
"sscortex.13" 0.144437467550529 0.0072709469568085 0.000177556756909438 0.0240907614253542 0.823994649780182 1.2784148716684e-05 1.58333814993721e-05
"ca1hippocampus.2" 0.0569607096633381 0.0709998554280707 1.82472115865323e-05 0.0161184509604271 0.855851649787783 2.18440234095239e-05 2.92429253852252e-05
"ca1hippocampus.3" 0.138888474421771 0.0297490526144359 3.16398977808802e-05 0.00537939414644843 0.825290531294827 2.45943443195234e-05 0.000636313280417728
"ca1hippocampus.4" 0.358903569747183 0.194233992505328 0.0606578394655906 0.0709131842770533 0.315008151419566 3.13160136674084e-05 0.000251946571611182
"ca1hippocampus.5" 0.25402408409415 0.281497744313078 0.000666758640591268 0.017375163777032 0.446197882636051 5.52281128643148e-05 0.000183138426232629
"ca1hippocampus.6" 0.0871880481767774 0.0416411722313946 2.43369899859357e-05 0.00865628787196935 0.86240990787388 2.7773966334696e-05 5.24728896577204e-05
"ca1hippocampus.7" 0.0625141638105391 0.173447411744806 0.000293839410686045 0.0647794211990667 0.698880444541389 3.68793648335405e-05 4.78399286794292e-05
"sscortex.14" 0.103793479236341 0.0723044741794718 2.73508544134057e-05 0.0514771514446795 0.772238264867505 0.000123137705988352 3.61417116010209e-05
"ca1hippocampus.8" 0.0285411596365684 0.249429882426623 3.33609327954939e-05 0.025941269686651 0.695894691750516 3.725282992233e-05 0.000122382736923771
"sscortex.15" 0.370370103960091 0.109169602475199 1.56349406438697e-05 0.0186642321223773 0.501501895985089 2.84316222287902e-05 0.000250098894371898
"sscortex.16" 0.191716232123387 0.0156789087063422 1.36723892348588e-05 0.0415571827565596 0.750949578071482 6.46812273175219e-05 1.97447256764045e-05
"sscortex.17" 0.187881428318769 0.000153601608964948 0.000562721678257728 0.0111858626494637 0.797757236751008 0.000172226158576152 0.00228692283496052
"sscortex.18" 0.0301944531775487 0.0959948082471078 0.00039759183757913 0.0894478188502349 0.783660165210264 0.000103860272611563 0.000201302404653589
"sscortex.19" 0.148736784348525 0.0221860902101717 3.18049906761429e-05 0.0133348856255577 0.815593865320891 4.99375929471714e-05 6.66319112313775e-05
"sscortex.20" 0.0401095063094087 0.110856985476523 1.58855352363202e-05 0.0210122989188533 0.82795749911116 1.7728013840322e-05 3.00966349786343e-05
"ca1hippocampus.9" 0.303540592690311 0.165960063147239 0.000122165270274313 0.0127039932051117 0.517578790356598 5.57686807914983e-05 3.86266496744896e-05
"sscortex.21" 0.244324963348397 6.90348616050878e-05 2.73232128153704e-05 0.00775683385404734 0.74666886065553 0.00055817479433718 0.000594809273267776
"sscortex.22" 0.194761688571848 0.000237817758709136 0.000474390084137946 0.0155432020600141 0.788925102459156 2.58362782096814e-05 3.19627879253723e-05
"sscortex.23" 0.154686811976533 0.0593729959617114 3.59234325490246e-05 0.0506055856724933 0.735183119809306 4.75727252870605e-05 6.79904221207867e-05
"sscortex.24" 0.0609398233259261 0.146774983920413 1.87942075859171e-05 0.0153223356336565 0.776637275856147 6.26959392286337e-05 0.00024409111704286
"sscortex.25" 0.213401830882342 0.0113961208928266 3.39880819337304e-05 0.00620015446383419 0.768160380375925 5.68923564843816e-05 0.000750632946653781
"sscortex.26" 0.061298804168489 0.0578460065591089 0.00110104443423002 0.037126127878192 0.842442097598709 0.000135114663895142 5.08046973761155e-05
