"1" "2" "3" "4" "5"
"sscortex" 0.0789829807581963 0.00016896843674379 0.0523629066290762 0.000980388372630976 0.867504755803353
"sscortex.1" 0.0578530188556043 6.32880670252588e-05 0.110259333060086 0.00156378223227209 0.830260577785012
"sscortex.2" 0.111076894879953 0.000504870004060173 0.0726020426139714 0.000131605030789045 0.815684587471226
"sscortex.3" 0.0590785287175706 4.80668185732791e-05 0.0729644381370728 6.9960596239034e-05 0.867839005730544
"sscortex.4" 0.167802497488995 0.000591625513904242 0.0428630368127887 5.90808013451997e-05 0.788683759382967
"sscortex.5" 0.150316770803906 4.83929513732868e-05 0.0251222880339813 0.000101857569959017 0.82441069064078
"sscortex.6" 0.198599856860631 0.00060883038156052 0.00949204760606594 0.000399683033069296 0.790899582118673
"ca1hippocampus" 0.235446905035862 5.42582284657941e-05 0.0225194990912814 0.000793798549089957 0.7411855390953
"sscortex.7" 0.143049795785458 0.000623300051424323 0.0830350416717336 0.000682967473477932 0.772608895017906
"sscortex.8" 0.0782338660291832 0.000612620415963528 0.109257853224409 6.16599745477392e-05 0.811834000355897
"sscortex.9" 0.0995568601104743 0.00335453658773054 0.155984221781116 0.00184195816394838 0.739262423356731
"sscortex.10" 0.104458648783766 0.000301348562846413 0.154621045266007 3.39522443459112e-05 0.740585005143035
"sscortex.11" 0.374747556144128 0.00010411597602719 0.044612366065173 0.000325810775458041 0.580210151039214
"ca1hippocampus.1" 0.0714366840689806 6.85471593343986e-05 0.0652527388213297 7.23424298397131e-05 0.863169687520516
"sscortex.12" 0.112536736775062 0.000219051660731277 0.00409234277149223 2.54022688625566e-05 0.883126466523852
"sscortex.13" 0.131003002297389 0.000205651778097415 0.0452333757551694 1.86635709110539e-05 0.823539306598433
"ca1hippocampus.2" 0.0430251853746678 2.59912672084542e-05 0.113895749541937 3.1459354902269e-05 0.843021614461284
"ca1hippocampus.3" 0.116209642465319 3.15678109965491e-05 0.0672429771312111 0.000187774318929159 0.816328038273544
"ca1hippocampus.4" 0.380454346060498 0.0882255050144742 0.220471155060936 8.85285285475136e-05 0.310760465335544
"ca1hippocampus.5" 0.251650524848249 0.000415161928675286 0.302125988401871 8.89598973713731e-05 0.445719364923834
"ca1hippocampus.6" 0.0707276387874373 3.13103531837245e-05 0.0820255229536012 3.49569869085154e-05 0.847180570918869
"ca1hippocampus.7" 0.0699223887793497 0.000668020110657585 0.224473564088357 7.72278679691239e-05 0.704858799153666
"sscortex.14" 0.104648107654523 6.22540722005866e-05 0.121810310186916 0.000135512457248828 0.773343815629111
"ca1hippocampus.8" 0.0246447204223569 5.07105514107473e-05 0.286845119643111 8.53568295890615e-05 0.688374092553532
"sscortex.15" 0.375090830209663 2.19507471627749e-05 0.137914802981366 0.000183780127777599 0.48678863593403
"sscortex.16" 0.191401287451166 2.66015418143763e-05 0.0608312482071868 5.98481067183227e-05 0.747681014693115
"sscortex.17" 0.168847390616534 0.000522454356885155 0.024186116844383 0.00100974573750026 0.805434292444697
"sscortex.18" 0.0377858774088101 0.0015386477648506 0.15829637459382 0.000330252925027366 0.802048847307492
"sscortex.19" 0.131356441801071 3.76730013551084e-05 0.0600586839394054 5.78830055892404e-05 0.80848931825258
"sscortex.20" 0.0312803949290973 2.24144225520136e-05 0.152466429428863 2.70748012577859e-05 0.81620368641823
"ca1hippocampus.9" 0.295234778973072 0.000121384454518612 0.188626973388025 5.20974845138739e-05 0.515964765699871
"sscortex.21" 0.226830234775852 4.24488940874478e-05 0.00280185373760581 0.00105407136436402 0.76927139122809
"sscortex.22" 0.180815426426813 0.000495741819421327 0.0298908696370668 3.51240154145574e-05 0.788762838101285
"sscortex.23" 0.157641484830935 7.95758506875649e-05 0.105799298947863 9.03509477240379e-05 0.73638928942279
"sscortex.24" 0.0510142983553446 2.61398781871585e-05 0.183291573638628 8.91858407971274e-05 0.765578802287043
"sscortex.25" 0.195138910774769 3.91278464612441e-05 0.0434674568393727 0.000342788728716504 0.761011715810681
"sscortex.26" 0.0538976007507691 0.00146489681377627 0.104711278509807 0.000112734713395409 0.839813489212252
"sscortex.27" 0.0402124462704895 0.000707007272129333 0.201161275048011 4.45641353965017e-05 0.757874707273974
"sscortex.28" 0.158680346384362 4.55349369558949e-05 0.0769692419645602 8.16325878471537e-05 0.764223244126275
"sscortex.29" 0.249810430577482 3.81741890511565e-05 0.0201508513351336 6.33423827954948e-05 0.729937201515538
"sscortex.30" 0.0693484434253469 3.36718737047516e-05 0.0674293114810403 7.07291019612252e-05 0.863117844117947
"sscortex.31" 0.152208057443282 0.00236857071064746 0.0636161865087246 0.000733165344151556 0.781074019993195
"sscortex.32" 0.126736134593074 6.22887531788203e-05 0.0523571035415122 8.99635296240467e-05 0.820754509582611
"sscortex.33" 0.0309179860146906 0.000951937825616684 0.202198285745121 0.00221277309165205 0.763719017322919
"sscortex.34" 0.0916863877756389 0.00104762569810056 0.064069130121013 0.0010356184858849 0.842161237919363
"sscortex.35" 0.0442349119742008 0.000786148416846155 0.109650525992563 9.09000125894853e-05 0.845237513603801
"ca1hippocampus.10" 0.0145088685829249 6.3370746898281e-05 0.176473207247293 0.000559060574067827 0.808395492848816
"sscortex.36" 0.071842639312238 0.00192380962811767 0.175212456926491 0.00664336064217698 0.744377733490977
"ca1hippocampus.11" 0.0651146916182098 0.000100280086408936 0.134568237114629 0.00124514295882229 0.79897164822193
"ca1hippocampus.12" 0.0109027098296976 0.000271550143767076 0.215738760581665 5.50442939096144e-05 0.773031935150961
